,Pclass,Age,SibSp,Parch,Fare,Cabin,Sex_male,Embarked_Q,Embarked_S,Survived
233,3,,0,0,7.8792,,1.0,1.0,0.0,0
234,1,39.0,1,0,71.2833,C85,1.0,0.0,0.0,0
235,3,20.0,0,0,7.8542,,1.0,0.0,1.0,0
236,1,64.0,1,0,75.25,D37,1.0,0.0,0.0,0
237,3,20.0,0,0,7.225,,1.0,0.0,0.0,0
238,2,18.0,1,1,13.0,,0.0,0.0,1.0,1
239,1,48.0,1,0,106.425,C86,0.0,0.0,0.0,1
240,1,55.0,0,0,27.7208,,0.0,0.0,0.0,1
241,2,45.0,0,2,30.0,,0.0,0.0,1.0,1
242,1,45.0,1,1,134.5,E34,1.0,0.0,0.0,0
243,3,,0,0,7.8875,,1.0,0.0,1.0,0
244,3,,1,2,23.45,,1.0,0.0,1.0,0
245,1,41.0,1,0,51.8625,D21,1.0,0.0,1.0,0
246,2,22.0,0,0,21.0,,0.0,0.0,1.0,1
247,2,42.0,1,1,32.5,,1.0,0.0,1.0,0
248,2,29.0,1,0,26.0,,0.0,0.0,1.0,1
249,3,,1,0,14.4542,,0.0,0.0,0.0,1
250,2,0.92,1,2,27.75,,0.0,0.0,1.0,1
251,3,20.0,0,0,7.925,,1.0,0.0,1.0,0
252,1,27.0,1,0,136.7792,C89,1.0,0.0,0.0,0
253,3,24.0,0,0,9.325,,1.0,0.0,1.0,0
254,3,32.5,0,0,9.5,,1.0,0.0,1.0,0
255,3,,0,0,7.55,,1.0,0.0,1.0,0
256,3,,0,0,7.75,,1.0,1.0,0.0,0
257,3,28.0,0,0,8.05,,1.0,0.0,1.0,0
258,2,19.0,0,0,13.0,,0.0,0.0,1.0,1
259,3,21.0,0,0,7.775,,1.0,0.0,1.0,0
260,3,36.5,1,0,17.4,,1.0,0.0,1.0,0
261,3,21.0,0,0,7.8542,,1.0,0.0,1.0,0
262,2,29.0,0,2,23.0,,0.0,0.0,1.0,1
263,3,1.0,1,1,12.1833,,0.0,0.0,1.0,1
264,2,30.0,0,0,12.7375,,1.0,0.0,0.0,0
265,3,,0,0,7.8958,,1.0,0.0,1.0,0
266,1,,0,0,0.0,,1.0,0.0,1.0,0
267,3,,0,0,7.55,,1.0,0.0,1.0,0
268,3,,0,0,8.05,,0.0,0.0,1.0,1
269,3,17.0,0,0,8.6625,,1.0,0.0,1.0,0
270,1,46.0,0,0,75.2417,C6,1.0,0.0,0.0,0
271,3,,0,0,7.75,,1.0,1.0,0.0,0
272,1,26.0,1,0,136.7792,C89,0.0,0.0,0.0,1
273,3,,1,0,15.5,,0.0,1.0,0.0,1
274,3,,0,0,7.225,,1.0,0.0,0.0,0
275,2,20.0,1,0,26.0,,0.0,0.0,1.0,1
276,2,28.0,0,0,10.5,,1.0,0.0,1.0,0
277,2,40.0,1,0,26.0,,1.0,0.0,1.0,0
278,2,30.0,1,0,21.0,,1.0,0.0,1.0,0
279,2,22.0,0,0,10.5,,1.0,0.0,1.0,0
280,3,23.0,0,0,8.6625,,0.0,0.0,1.0,1
281,3,0.75,1,1,13.775,,1.0,0.0,1.0,0
282,3,,0,0,7.75,,0.0,1.0,0.0,1
283,3,9.0,1,1,15.2458,,0.0,0.0,0.0,1
284,3,2.0,1,1,20.2125,,0.0,0.0,1.0,1
285,3,36.0,0,0,7.25,,1.0,0.0,1.0,0
286,3,,0,0,7.25,,1.0,0.0,1.0,0
287,1,24.0,1,0,82.2667,B45,1.0,0.0,1.0,0
288,3,,0,0,7.2292,F E46,1.0,0.0,0.0,0
289,3,,0,0,8.05,,1.0,0.0,1.0,0
290,1,,0,0,39.6,,1.0,0.0,1.0,0
291,3,30.0,0,0,6.95,,0.0,1.0,0.0,1
292,3,,0,0,7.2292,,1.0,0.0,0.0,0
293,1,53.0,1,1,81.8583,A34,1.0,0.0,1.0,0
294,3,36.0,0,0,9.5,,1.0,0.0,1.0,0
295,3,26.0,0,0,7.8958,,1.0,0.0,1.0,0
296,2,1.0,1,2,41.5792,,0.0,0.0,0.0,1
297,3,,2,0,21.6792,,1.0,0.0,0.0,0
298,1,30.0,0,0,45.5,,1.0,0.0,1.0,0
299,3,29.0,0,0,7.8542,,1.0,0.0,1.0,0
300,3,32.0,0,0,7.775,,1.0,0.0,1.0,0
301,2,,0,0,15.0458,D,1.0,0.0,0.0,0
302,2,43.0,0,1,21.0,,1.0,0.0,1.0,0
303,3,24.0,0,0,8.6625,,1.0,0.0,1.0,0
304,3,,0,0,7.75,,0.0,1.0,0.0,1
305,1,64.0,1,1,26.55,B26,0.0,0.0,1.0,1
306,1,30.0,1,2,151.55,C22 C26,1.0,0.0,1.0,0
307,3,0.83,0,1,9.35,,1.0,0.0,1.0,0
308,1,55.0,1,1,93.5,B69,1.0,0.0,1.0,0
309,3,45.0,1,0,14.1083,,0.0,0.0,1.0,1
310,3,18.0,0,0,8.6625,,1.0,0.0,1.0,0
311,3,22.0,0,0,7.225,,1.0,0.0,0.0,0
312,3,,0,0,7.575,,1.0,0.0,1.0,0
313,3,37.0,0,0,7.75,,0.0,1.0,0.0,1
314,1,55.0,0,0,135.6333,C32,0.0,0.0,0.0,1
315,3,17.0,0,0,7.7333,,0.0,1.0,0.0,1
316,1,57.0,1,0,146.5208,B78,1.0,0.0,0.0,0
317,2,19.0,0,0,10.5,,1.0,0.0,1.0,0
318,3,27.0,0,0,7.8542,,1.0,0.0,1.0,0
319,2,22.0,2,0,31.5,,1.0,0.0,1.0,0
320,3,26.0,0,0,7.775,,1.0,0.0,1.0,0
321,3,25.0,0,0,7.2292,F E57,1.0,0.0,0.0,0
322,2,26.0,0,0,13.0,F2,1.0,0.0,1.0,0
323,1,33.0,0,0,26.55,,1.0,0.0,1.0,0
324,1,39.0,0,0,211.3375,,0.0,0.0,1.0,1
325,3,23.0,0,0,7.05,,1.0,0.0,1.0,0
326,2,12.0,2,1,39.0,F4,0.0,0.0,1.0,1
327,1,46.0,0,0,79.2,,1.0,0.0,0.0,0
328,2,29.0,1,0,26.0,,1.0,0.0,1.0,0
329,2,21.0,0,0,13.0,,1.0,0.0,1.0,0
330,2,48.0,0,2,36.75,,0.0,0.0,1.0,1
331,1,39.0,0,0,29.7,A18,1.0,0.0,0.0,0
332,3,,0,0,7.225,,1.0,0.0,0.0,0
333,3,19.0,1,1,15.7417,,0.0,0.0,0.0,1
334,3,27.0,0,0,7.8958,,1.0,0.0,1.0,0
335,1,30.0,0,0,26.0,C106,1.0,0.0,1.0,0
336,2,32.0,0,0,13.0,,1.0,0.0,1.0,0
337,3,39.0,0,2,7.2292,,1.0,0.0,0.0,0
338,2,25.0,0,0,31.5,,1.0,0.0,1.0,0
339,3,,0,0,7.2292,,1.0,0.0,0.0,0
340,2,18.0,0,0,10.5,,1.0,0.0,1.0,0
341,3,32.0,0,0,7.5792,,1.0,0.0,1.0,0
342,3,,1,9,69.55,,1.0,0.0,1.0,0
343,1,58.0,0,1,512.3292,B51 B53 B55,0.0,0.0,0.0,1
344,3,,1,1,14.5,,1.0,0.0,1.0,0
345,3,16.0,0,0,7.65,,0.0,0.0,1.0,1
346,2,26.0,0,0,13.0,,1.0,0.0,1.0,0
347,3,38.0,0,0,7.2292,,0.0,0.0,0.0,1
348,2,24.0,0,0,13.5,,1.0,0.0,1.0,0
349,2,31.0,0,0,21.0,,0.0,0.0,1.0,1
350,1,45.0,0,1,63.3583,D10 D12,0.0,0.0,0.0,1
351,2,25.0,0,0,10.5,,1.0,0.0,1.0,0
352,2,18.0,0,0,73.5,,1.0,0.0,1.0,0
353,2,49.0,1,2,65.0,,1.0,0.0,1.0,0
354,3,0.17,1,2,20.575,,0.0,0.0,1.0,1
355,1,50.0,0,0,26.0,E60,1.0,0.0,1.0,0
356,1,59.0,2,0,51.4792,C101,0.0,0.0,1.0,1
357,3,,0,0,7.8792,,1.0,0.0,1.0,0
358,3,,0,0,7.75,,1.0,1.0,0.0,0
359,3,30.0,1,0,15.55,,0.0,0.0,1.0,1
360,3,14.5,8,2,69.55,,1.0,0.0,1.0,0
361,2,24.0,1,1,37.0042,,0.0,0.0,0.0,1
362,2,31.0,0,0,21.0,,0.0,0.0,1.0,1
363,3,27.0,0,0,8.6625,,1.0,0.0,1.0,0
364,1,25.0,1,0,55.4417,E50,0.0,0.0,0.0,1
365,3,,1,9,69.55,,0.0,0.0,1.0,1
366,3,,1,0,14.4583,,1.0,0.0,0.0,0
367,3,22.0,0,0,39.6875,,0.0,0.0,1.0,1
368,1,45.0,0,1,59.4,,0.0,0.0,0.0,1
369,2,29.0,0,0,13.8583,,1.0,0.0,0.0,0
370,2,21.0,1,0,11.5,,1.0,0.0,1.0,0
371,1,31.0,0,0,134.5,E39 E41,0.0,0.0,0.0,1
372,1,49.0,0,0,0.0,B52 B54 B56,1.0,0.0,1.0,0
373,2,44.0,0,0,13.0,,1.0,0.0,1.0,0
374,1,54.0,1,1,81.8583,A34,0.0,0.0,1.0,1
375,1,45.0,0,0,262.375,,0.0,0.0,0.0,1
376,3,22.0,2,0,8.6625,,0.0,0.0,1.0,1
377,2,21.0,0,0,11.5,,1.0,0.0,1.0,0
378,1,55.0,0,0,50.0,C39,1.0,0.0,1.0,0
379,3,5.0,4,2,31.3875,,1.0,0.0,1.0,0
380,3,,0,0,7.75,,1.0,1.0,0.0,0
381,3,26.0,0,0,7.8792,,1.0,1.0,0.0,0
382,3,,0,0,14.5,,0.0,0.0,1.0,1
383,3,19.0,1,0,16.1,,0.0,0.0,1.0,1
384,2,,0,0,12.875,,1.0,0.0,1.0,0
385,2,24.0,1,2,65.0,,0.0,0.0,1.0,1
386,3,24.0,0,0,7.775,,1.0,0.0,1.0,0
387,2,57.0,0,0,13.0,,1.0,0.0,1.0,0
388,3,21.0,0,0,7.75,,1.0,1.0,0.0,0
389,3,6.0,3,1,21.075,,1.0,0.0,1.0,0
390,1,23.0,0,0,93.5,B24,1.0,0.0,1.0,0
391,1,51.0,0,1,39.4,D28,0.0,0.0,1.0,1
392,3,13.0,0,2,20.25,,1.0,0.0,1.0,0
393,2,47.0,0,0,10.5,,1.0,0.0,1.0,0
394,3,29.0,3,1,22.025,,1.0,0.0,1.0,0
395,1,18.0,1,0,60.0,C31,0.0,0.0,1.0,1
396,3,24.0,0,0,7.25,,1.0,1.0,0.0,0
397,1,48.0,1,1,79.2,B41,0.0,0.0,0.0,1
398,3,22.0,0,0,7.775,,1.0,0.0,1.0,0
399,3,31.0,0,0,7.7333,,1.0,1.0,0.0,0
400,1,30.0,0,0,164.8667,C7,0.0,0.0,1.0,1
401,2,38.0,1,0,21.0,,1.0,0.0,1.0,0
402,1,22.0,0,1,59.4,,0.0,0.0,0.0,1
403,1,17.0,0,0,47.1,,1.0,0.0,1.0,0
404,1,43.0,1,0,27.7208,D40,1.0,0.0,0.0,0
405,2,20.0,0,0,13.8625,D38,1.0,0.0,0.0,0
406,2,23.0,1,0,10.5,,1.0,0.0,1.0,0
407,1,50.0,1,1,211.5,C80,1.0,0.0,0.0,0
408,3,,0,0,7.7208,,0.0,1.0,0.0,1
409,3,3.0,1,1,13.775,,0.0,0.0,1.0,1
410,3,,0,0,7.75,,0.0,1.0,0.0,1
411,1,37.0,1,0,90.0,C78,0.0,1.0,0.0,1
412,3,28.0,0,0,7.775,,0.0,0.0,1.0,1
413,3,,0,0,8.05,,1.0,0.0,1.0,0
414,1,39.0,0,0,108.9,C105,0.0,0.0,0.0,1
415,3,38.5,0,0,7.25,,1.0,0.0,1.0,0
416,3,,0,0,8.05,,1.0,0.0,1.0,0
417,3,,1,1,22.3583,,1.0,0.0,0.0,0
